Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
"Document Date; August 25, 1977; Starting Date; August 25, 1977","T. Howarth, Budget Officer; G. Robert Blakey, Chief Counsel and Director; Mr. Jan Schlichtmann",,,"Appointment of Mr. Jan Schlichtmann as Law Assistant/Legal Unit with the Committee staff; Starting salary; $19,500",Legal Unit with the Committee staff,,Memo from G. Robert Blakey to T. Howarth regarding Mr. Jan Schlichtmann's appointment,For file:; I can't analyze the image as it appears blank or indiscernible in this context.; For file:,1251
"Revised; August 1, 1977",,,,,,,,For file:,1252
1992 (John F. Kennedy Assassination Records Collection Act); 2107 (Note); 2025 (Date),,,,,,,,,1253
1992 (related to the act); 2025 (document date),,,,,John F. Kennedy Assassination Records Collection Act; (44 USC 2107),,,Case; NW 88326; For file:,1254
"May 6, 1977; Leaving as of May 15, 1977; Vacation accrual since November 1976",,,,Joan Talbert Thornell serving as a Special Assistant for Administrative Projects; Completion of assignments in affirmative action and staff review; Joan Talbert Thornell leaving the staff of the Select Committee on Assassinations,Select Committee on Assassinations,,"Memorandum from Joan Talbert Thornell to Alvin B. Lewis, Jr.",For file:,1255
"June 14, 1977","Chairman Stokes; Acting Chief Counsel Al Lewis; Mrs. Thornell; Honorable Walter E. Fauntroy, M.C.",,,Acting Chief Counsel Al Lewis was paid for no accumulated leave.; Mr. Lewis was kept on the payroll long enough to recover his back salary after leaving the Committee.; Mrs. Thornell had already recovered her back salary.; Mrs. Thornell's break in service has no effect on her benefits.,The Committee; Finance Office,,"The memo is addressed to Chairman Stokes, with a CC to Honorable Walter E. Fauntroy, M.C.",For file:,1256
"May 20, 1977; October 1, 1977; Monday, June 13",Anne Paul Wilander; Tiny Hutton; Tom Howarth,,,"Proposal to hire Mrs. Anne Paul Wilander as a staff assistant in the Budget Office.; Recommendation for salary adjustments depending on performance.; Mrs. Wilander to report for work on June 13, contingent on approval.",Budget Office; Select Committee on Congressional Operations,,Memo from Tom Howarth to Tiny Hutton regarding staffing decision and recommendations.,For file:,1257
1977,Henry B. Gonzalez,,,,,,,For file:,1258
1992 (John F. Kennedy Assassination Records Collection Act); 2025 (Document Date),,,,,,,,For file:,1259
John F. Kennedy Assassination Records Collection Act of 1992; Date; 2025,,,,,John F. Kennedy Assassination Records Collection,,,Released under the John F. Kennedy Assassination Records Collection Act of 1992 (44 USC 2107); For file:,1260
"January 11, 1967; January 10, 1967, 4; 00 P.M.; Reference to January 9, 1967",,,,"Jimmy Johnson, once a close associate of Ferrie, renewed contact for information purposes.; Ferrie contacted Pershing regarding a Cuban woman's name mentioned in a Saturday Evening Post article.; Ferrie called an unknown lawyer on January 9, 1967.",Reference to the Saturday Evening Post,,Memo from Lynn Loisel to Louis Ivon regarding a phone call from Jimmy Johnson.,Information handwritten at the top; JSN  420-562-3635.; For file:,1261
,Steve Littleton; Ferrie,,,Steve Littleton parked a twin-engine Beechcraft in Ferries spot at the airport.; The plane was flown in from out-of-town.,Airport; For file:,,,,1262
,,,,A person could not remember any other individuals present at the time of a contact but planned to call back if she; recalled any names.,,,,For file:,1263
6-1-78,Robert Buras; LHO (commonly associated with Lee Harvey Oswald),,,A person named Robert Buras reported seeing LHO in Alba's Garage.,"William B. Rielly Coffee Co.; 640 Magazine St., New Orleans, La; Alba's Garage",,Communication involves Robert Buras mentioning having seen LHO.,,1264
,Investigator; Robert Buras; For file:,,,,,,,,1265
"Date transcribed; June 26, 1978",Robert Genzman; Harold Leap,,,,,,,For file:,1266
Date; 10/1/201 (Note; Year is incomplete),,,,,Agency; HSCA,,,For file:,1267
Date; 4-13-78; Time; 7 p.m.,"Charles Steele, Jr.; LHO (presumed alias or initials)",,,"Charles Steele passed out Pro-Cuba leaflets with LHO.; Steele was approached on Canal Street by LHO and offered $5.00 to pass out leaflets.; Steele accepted the offer, passed out the first batch, read the leaflets, collected his money, and left.; Steele did not know the second male assisting.","Unemployment office on Canal Street, New Orleans, LA.",,Charles Steele was approached and communicated with by LHO.,,1268
Date of report; 10-16-78; Sept. 1954; Atzenhoffer joined Civil Air Patrol Cadets; Left in 1957; 1963; Oswald seen on TV,"Anthony William Atzenhoffer, Jr.; Robert Buras; Oswald; Ed Voebel; Ferrie",,,"Atzenhoffer joined Moisant Squadron in 1954, left in 1957; Oswalds name was on the roll; Atzenhoffer had no recollection of speaking with Oswald; Voebel talked about Oswald on the news; Ferrie taught some courses at Moisant Squadron","Civil Air Patrol Cadets, Moisant Squadron; New Orleans (Algiers), La.",,Robert Buras met Atzenhoffer in person; Voebel was reportedly close to Oswald,,1269
,,,,,,,,For file:,1270
Date transcribed; 9-28-78,James P. Kelly,,,,,,,; For file:,1271
02/04/79,,,,,U.S. House of Representatives; For file:,,,,1272
,,,,,House Administration Committee; For file:,,,,1273
,,,,,House Administration Committee; For file:,,,,1274
,"Lazin, Terry; Lee, Sheila; Lehner, Robert; Lewis, Alvin; Martin, Rebecca; McPherson, Vivian; Moriarty, John; Morrison, Robert; Orr, Patricia; Purdy, Donald A. Jr.; Ross, Ida Jane; Sprague, Richard A.; Tanenbaum, Robert K.; Taylor, Ann Furnald; Thornell, Joan Talbert",,,,Select Committee on Assassinations; U.S. House of Representatives; Financial Management System,,,Document code; 32269643 Page 4; For file:,1275
02-01-77; 02-28-77,"Johnson, Gene R",,,,,,,For file:,1276
5-7-9; 5-8-9; 02-01-77; 02-28-77,"Lawhon, Belford L. III",,,,,,,For file:,1277
02-01-77; 02-28-77,"Moriarty, John J; Morrison, Robert C",,,,Staff Investigator/Kennedy; Security/Investigation/AA,,,For file:,1278
,,,,An incident involving a CIA employee and a committee. It is noted that it has not been logged into the system by; agreement.; For file:,,,,,1279
,Regis Blahut; For file:,,,,,,,,1280
,Mark; Hance,,,,,,Mark and Hance share an opinion.,For file:,1281
7/3/77; 9/14/48; 1/7/24; 12/31/46,Mr. Bonner; Mr. Payne; Robert J. Buros; Eileen G. Dinneen (Copeland); Frank L. Eccles; Eliz. K. Selleck; Lawrence Dean,,,"Lawrence Dean will make a photo copy of something related to ""Milling.""","New Orleans; NC (North Carolina); Woodmere, WA (Washington)",,None specifically noted.,,1282
"June 27; June 29; July 7 (2; 30 PM); July 10, 1958",Blakey; Willie Cruz; Robert Morrison; Blount,,,Willie Cruz contacted about making tentative prints on July 7.; Fingerprint comparison conducted.,D.C. (District of Columbia); Office in the Marine Building,,Willie Cruz communicated with Blakey on July 7 regarding fingerprints.,None indicated in the visible text.; For file:; ```plaintext,1283
"June 23, 1978",Jack Moriarty; Pat McGinnis; Sgt Blake; Det McGinnis; William Curry; C. Robert Blakey,,,Attempt to obtain latent prints from the Kennedy autopsy photos.,MDC (exact organization not specified),,Request made by an investigator; Jack Moriarty and others involved in obtaining latent prints.,None noted in this excerpt.; ```; For file:,1284
,JSE; For file:,,,,,,,,1285
1969,James Wooten; Elwood Turner; Oswald; John Barron,,,"Tape made in 1969 related to James Wooten and Elwood Turner.; Tape made in 1967 related to ""Solo.""; March 1964, the FBI has a tape on Oswald with a signed transcript.; John Barron talked ""inside KGB"" without agency approval.",FBI; KGB,,,For file:,1286
1959 - Oct,Senior Law,,,Rastras in - tells him he wants to defect.,Security Office; University in capital; City Rep,,,For file:,1287
,LHO; Rostov,,,Mention of people having intelligence connections.; Request to stay in the Soviet Union.,Federal government; Russia,,Associated with Rostov in Russia.; Watching groups for suspicious individuals.,"Document marked as ""SECRET"".; For file:",1288
,"Chief, Atkins?",,,Showed material to chief of section; did not receive further action,,,"Material reported, no higher discussion noted",Not applicable; For file:,1289
"Geneva, Sept 17th.",Alex.,,,Made decision.,J. Dept.; Geneva.,,Communication involving a chief and possibly a deputy chief.,None.; For file:,1290
"Early Aug  ""Send to Minsk""",J; Lee,,,"J talked to several people in Minsk.; Early Aug, something sent to Minsk regarding Belarus.; Hugo told Lee ""closed files by mail plane.""; Allen asked M about contact with LHO.",Minsk; Belarus,,"Hugo communicated information regarding Lee.; Allen and M discussed LHO.; Communication methods include mail, phone, and meetings.","Document classified as ""SECRET""; For file:",1291
1967; 1975; 1978,Bagly; Nick; John; Murphy; George; Sotie; Brown,,,,FBI; KGB,,,Secret; For file:,1292
June 1968,LHO; Helms; Colby; Angleton,,,Held and questioned in June 1968.; Several drops of questions mentioned.; Discussion involving questions related to LHO.; Return visit the next day without hostility.,Not specified.,,,"Document marked as ""SECRET"".; For file:",1293
,,,,,CIA; State Department; OER - Office of Central Reference,,,"Document marked as ""SECRET""; Portions marked as ""PROHIBITED"" and ""FOR REVIEW""; For file:; ```plaintext",1294
,Posada; Maria Concepcion Casteneda Napoles,,,"Employment at Firestone Rubber Company, Akron, Ohio.; CIA initiated bureaucratic processes for Posada's interview.; Posada joined the United States Army.; Divorce from Maria Concepcion Casteneda Napoles in Chicago.","Firestone Rubber Company; Akron, Ohio; CIA; United States Army; Fort Benning, Georgia; Known address; 6540 Seville St., Apt. C, Huntington Park, CA; Chicago; Carolinas, Matanzas, Cuba",,CIA interactions concerning Posada.,Document marked as SECRET; ```; For file:,1295
Early 1960s (Posada's involvement as an instructor),Posada; Luis Clemente Carriles; Bambi Posada Carriles; Bambi Carriles; Julian Posada Carriles; Julian Carriles; Carlos Porro; Antonio Garcia; Segundo Orta; Dick Patterson,,,Posada's involvement in a plot to kill Castro.; Posada claims to have been a chief instructor for training camps in the early 1960s.,"Training camps (unspecified location); 395 E. Tallmadge, Akron, Ohio; 3604 S.W. 26th Terrace, Miami, Florida; 685 Carnegie Ave, Akron, Ohio",,"References; Carlos Porro, Antonio Garcia, Segundo Orta, Dick Patterson.","Document marked as ""Secret"".; For file:",1296
DOB 8/16/21; Employed in 1961; Gun running since 1957,"Posada; ""Lefty"" Rosenthal; Cesear Diosdado; Jose Ricardo Rabel Munoz",,,Posada claims to be an excellent marksman.; Diosdado alleged to have been involved in gun running.; Allegedly sold guns for an invasion plan.; Made claims at a press conference about being a CIA recruiting agent.,"US Army; Miami; Laredo, Texas; Haiti; Cuba",,Allegations made by Jose Ricardo Rabel Munoz at a Cuban press conference.,"Document marked ""SECRET""; For file:",1297
1949; Late 1940s; 12/11/50; 1951; 1952,,,,"Joined CIA PPS/OPC in 1949.; Resigned on 12/11/50 to accept a position at State.; Clearances for novels, no indication of rejoining the Agency.",CIA PPS/OPC; Economic Coop. Admin.; Vienna; State,,(No communications extracted),(No classifications or redactions extracted); For file:,1298
1953,Edwards,,,"""Darkness on the hand"" rejected due to racism (implied action or decision).",,,,"Document classification marked as ""SECRET"".; For file:",1299
12/2/60; 6/27/60,Zwicker; Terence S. Cravanac; President Nardone; Eisenhower; Hunt; Joseph Hangar,,,"Zwicker was compromised and canceled.; Zwicker was assigned to ""Terence S. Cravanac.""; Request by President Nardone of Uruguay to Eisenhower not to transfer Hunt.; Mention of 1960 personal information regarding an auto accident and a desire to stay in the Uruguayan assignment.; Hunt traveled TDY to Cuba and then to Mexico City on PCS under commercial cover.",Montevideo; Uruguay; Cuba; Mexico City; JMARC,,Mention of a request by President Nardone to Eisenhower.; Hunt as a political action officer and representative to FRD in Mexico.,"Document labeled as ""SECRET.""; For file:",1300
6/23 (Date of memo); 24 Jan 1961 (Date of another memo),Dep. Dir. Sec.; Hunt,,,"Hunt described as ""something of a character and free wheeler.""; Hunt wants a gun and convertible automobile for use in M.C.; Tracy Barnes denies pushing Hunt for a position.; Concerns about Hunt giving information on operations to Uruguayan officials.",DDS (Invest. & Oper. Sup.); O.S. (Referenced in memo related to Hunt); Uruguayan officials mentioned in context of concerns,,Memo communication; Discussion involving Tracy Barnes and J.C. King,"Marked ""SECRET""; For file:",1301
9/61; 11/17/62,Hunt; Helms,,,Worked operation approved by Helms in 9/61.; Reassigned on 11/17/62.,,,,; For file:,1302
"Document references; 11/62, 2/63; Event date; 1/62",Hunt,,,Hunt's request for his wife to work at the Spanish Embassy was disapproved due to security reasons.,Spanish Embassy,,N/A,"Document appears to be a ""sanitized version.""; Partial security classification visible (""SEC[RET]"" potential).; For file:",1303
